Sample in Buffer,Sample in Window,TRIGGER,design_1_i/cis_vsync_1,design_1_i/cis_hsync_1,design_1_i/cis_pclk_1,design_1_i/cis_d_1[7:0],design_1_i/CIS_test_0_o_hsync_cnt[31:0],design_1_i/CIS_test_0_o_pclk_cnt[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
0,0,0,1,1,0,28,2287,1676416
1,1,0,1,1,1,3e,2287,1676418
2,2,0,1,1,0,1d,2287,1676419
3,3,0,1,1,1,08,2287,1676421
4,4,0,1,1,0,23,2287,1676422
5,5,0,1,1,1,1d,2287,1676424
6,6,0,1,1,0,1e,2287,1676425
7,7,0,1,1,1,28,2287,1676427
8,8,0,1,1,0,23,2287,1676428
9,9,0,1,1,1,1e,2287,1676430
10,10,0,1,1,0,1e,2287,1676431
11,11,0,1,1,1,23,2287,1676433
12,12,0,1,1,0,23,2287,1676434
13,13,0,1,1,1,17,2287,1676436
14,14,0,1,1,0,1f,2287,1676437
15,15,0,1,1,1,28,2287,1676439
16,16,0,1,1,0,23,2287,1676440
17,17,0,1,1,1,17,2287,1676442
18,18,0,1,1,0,17,2287,1676443
19,19,0,1,1,1,28,2287,1676445
20,20,0,1,1,0,28,2287,1676446
21,21,0,1,1,1,17,2287,1676448
22,22,0,1,1,0,10,2287,1676449
23,23,0,1,1,1,23,2287,1676451
24,24,0,1,1,0,21,2287,1676452
25,25,0,1,1,1,16,2287,1676454
26,26,0,1,1,0,17,2287,1676455
27,27,0,1,1,1,23,2287,1676457
28,28,0,1,1,0,20,2287,1676458
29,29,0,1,1,0,1d,2287,1676459
30,30,0,1,1,1,14,2287,1676461
31,31,0,1,1,0,23,2287,1676462
32,32,0,1,1,1,21,2287,1676464
33,33,0,1,1,0,17,2287,1676465
34,34,0,1,1,1,1f,2287,1676467
35,35,0,1,1,0,22,2287,1676468
36,36,0,1,1,1,3c,2287,1676470
37,37,0,1,1,0,17,2287,1676471
38,38,0,1,1,1,23,2287,1676473
39,39,0,1,1,0,28,2287,1676474
40,40,0,1,1,1,14,2287,1676476
41,41,0,1,1,0,14,2287,1676477
42,42,0,1,1,1,23,2287,1676479
43,43,0,1,1,0,23,2287,1676480
44,44,0,1,1,1,14,2287,1676482
45,45,0,1,1,0,14,2287,1676483
46,46,0,1,1,1,23,2287,1676485
47,47,0,1,1,0,23,2287,1676486
48,48,0,1,1,1,17,2287,1676488
49,49,0,1,1,0,15,2287,1676489
50,50,0,1,1,1,23,2287,1676491
51,51,0,1,1,0,28,2287,1676492
52,52,0,1,1,1,14,2287,1676494
53,53,0,1,1,0,14,2287,1676495
54,54,0,1,1,1,22,2287,1676497
55,55,0,1,1,0,23,2287,1676498
56,56,0,1,1,1,14,2287,1676500
57,57,0,1,1,0,16,2287,1676501
58,58,0,1,1,1,21,2287,1676503
59,59,0,1,1,0,23,2287,1676504
60,60,0,1,1,0,1b,2287,1676505
61,61,0,1,1,1,14,2287,1676507
62,62,0,1,1,0,21,2287,1676508
63,63,0,1,1,1,27,2287,1676510
64,64,0,1,1,0,1b,2287,1676511
65,65,0,1,1,1,00,2287,1676513
66,66,0,1,1,0,22,2287,1676514
67,67,0,1,1,1,39,2287,1676516
68,68,0,1,1,0,14,2287,1676517
69,69,0,1,1,1,01,2287,1676519
70,70,0,1,1,0,22,2287,1676520
71,71,0,1,1,1,18,2287,1676522
72,72,0,1,1,0,19,2287,1676523
73,73,0,1,1,1,20,2287,1676525
74,74,0,1,1,0,20,2287,1676526
75,75,0,1,1,1,19,2287,1676528
76,76,0,1,1,0,1a,2287,1676529
77,77,0,1,1,1,0f,2287,1676531
78,78,0,1,1,0,22,2287,1676532
79,79,0,1,1,1,14,2287,1676534
80,80,0,1,1,0,18,2287,1676535
81,81,0,1,1,1,22,2287,1676537
82,82,0,1,1,0,0f,2287,1676538
83,83,0,1,1,1,1a,2287,1676540
84,84,0,1,1,0,18,2287,1676541
85,85,0,1,1,1,0d,2287,1676543
86,86,0,1,1,0,0f,2287,1676544
87,87,0,1,1,1,19,2287,1676546
88,88,0,1,1,0,13,2287,1676547
89,89,0,1,1,1,20,2287,1676549
90,90,0,1,1,0,0d,2287,1676550
91,91,0,1,1,1,11,2287,1676552
92,92,0,1,1,0,12,2287,1676553
93,93,0,1,1,0,0f,2287,1676554
94,94,0,1,1,1,08,2287,1676556
95,95,0,1,1,1,13,2287,1676558
96,96,0,1,1,1,12,2287,1676559
97,97,0,1,1,0,0e,2287,1676560
98,98,0,1,1,1,09,2287,1676562
99,99,0,1,1,0,10,2287,1676563
100,100,0,1,1,1,1d,2287,1676565
101,101,0,1,1,0,0f,2287,1676566
102,102,0,1,1,1,10,2287,1676568
103,103,0,1,1,0,12,2287,1676569
104,104,0,1,1,1,0d,2287,1676571
105,105,0,1,1,0,0e,2287,1676572
106,106,0,1,1,1,12,2287,1676574
107,107,0,1,1,0,10,2287,1676575
108,108,0,1,1,1,0d,2287,1676577
109,109,0,1,1,0,0d,2287,1676578
110,110,0,1,1,1,12,2287,1676580
111,111,0,1,1,0,2d,2287,1676581
112,112,0,1,1,1,0e,2287,1676583
113,113,0,1,1,0,0c,2287,1676584
114,114,0,1,1,1,2d,2287,1676586
115,115,0,1,1,0,2e,2287,1676587
116,116,0,1,1,1,0e,2287,1676589
117,117,0,1,1,0,0e,2287,1676590
118,118,0,1,1,1,2e,2287,1676592
119,119,0,1,1,0,2e,2287,1676593
120,120,0,1,1,1,0c,2287,1676595
121,121,0,1,1,0,0e,2287,1676596
122,122,0,1,1,1,2c,2287,1676598
123,123,0,1,1,0,24,2287,1676599
124,124,0,1,1,1,0c,2287,1676601
125,125,0,1,1,0,0d,2287,1676602
126,126,0,1,1,1,27,2287,1676603
127,127,0,1,1,0,2c,2287,1676605
128,128,0,1,1,1,0c,2287,1676607
129,129,0,1,1,0,06,2287,1676608
130,130,0,1,1,0,25,2287,1676609
131,131,0,1,1,1,25,2287,1676611
132,132,0,1,1,0,07,2287,1676612
133,133,0,1,1,1,07,2287,1676614
134,134,0,1,1,0,26,2287,1676615
135,135,0,1,1,1,27,2287,1676617
136,136,0,1,1,0,05,2287,1676618
137,137,0,1,1,1,06,2287,1676620
138,138,0,1,1,0,26,2287,1676621
139,139,0,1,1,1,05,2287,1676623
140,140,0,1,1,0,05,2287,1676624
141,141,0,1,1,1,24,2287,1676626
142,142,0,1,1,0,24,2287,1676627
143,143,0,1,1,1,05,2287,1676629
144,144,0,1,1,0,06,2287,1676630
145,145,0,1,1,1,2b,2287,1676632
146,146,0,1,1,0,29,2287,1676633
147,147,0,1,1,1,05,2287,1676635
148,148,0,1,1,0,06,2287,1676636
149,149,0,1,1,1,29,2287,1676638
150,150,0,1,1,0,29,2287,1676639
151,151,0,1,1,1,06,2287,1676641
152,152,0,1,1,0,06,2287,1676642
153,153,0,1,1,1,2b,2287,1676644
154,154,0,1,1,0,2a,2287,1676645
155,155,0,1,1,1,06,2287,1676647
156,156,0,1,1,0,04,2287,1676648
157,157,0,1,1,1,28,2287,1676650
158,158,0,1,1,0,28,2287,1676651
159,159,0,1,1,1,04,2287,1676653
160,160,0,1,1,0,06,2287,1676654
161,161,0,1,1,1,21,2287,1676656
162,162,0,1,1,0,28,2287,1676657
163,163,0,1,1,1,06,2287,1676659
164,164,0,1,1,1,04,2287,1676660
165,165,0,1,1,0,23,2287,1676661
166,166,0,1,1,1,20,2287,1676663
167,167,0,1,1,0,0b,2287,1676664
168,168,0,1,1,1,0b,2287,1676666
169,169,0,1,1,0,21,2287,1676667
170,170,0,1,1,1,23,2287,1676669
171,171,0,1,1,0,0b,2287,1676670
172,172,0,1,1,1,21,2287,1676672
173,173,0,1,1,0,21,2287,1676673
174,174,0,1,1,1,0b,2287,1676675
175,175,0,1,1,0,0b,2287,1676676
176,176,0,1,1,1,22,2287,1676678
177,177,0,1,1,0,20,2287,1676679
178,178,0,1,1,1,0b,2287,1676681
179,179,0,1,1,0,0b,2287,1676682
180,180,0,1,1,1,20,2287,1676684
181,181,0,1,1,0,22,2287,1676685
182,182,0,1,1,1,0b,2287,1676687
183,183,0,1,1,0,0b,2287,1676688
184,184,0,1,1,1,22,2287,1676690
185,185,0,1,1,0,20,2287,1676691
186,186,0,1,1,1,0b,2287,1676693
187,187,0,1,1,0,08,2287,1676694
188,188,0,1,1,1,20,2287,1676696
189,189,0,1,1,0,0f,2287,1676697
190,190,0,1,1,1,09,2287,1676699
191,191,0,1,1,0,09,2287,1676700
192,192,0,1,1,1,0f,2287,1676702
193,193,0,1,1,0,0d,2287,1676703
194,194,0,1,1,1,09,2287,1676705
195,195,0,1,1,0,0a,2287,1676706
196,196,0,1,1,0,0d,2287,1676707
197,197,0,1,1,1,0c,2287,1676709
198,198,0,1,1,0,0a,2287,1676710
199,199,0,1,1,1,0a,2287,1676712
200,200,0,1,1,0,0e,2287,1676713
201,201,0,1,1,1,0e,2287,1676715
202,202,0,1,1,0,0a,2287,1676716
203,203,0,1,1,1,08,2287,1676718
204,204,0,1,1,0,07,2287,1676719
205,205,0,1,1,1,0a,2287,1676721
206,206,0,1,1,0,0a,2287,1676722
207,207,0,1,1,1,0c,2287,1676724
208,208,0,1,1,0,07,2287,1676725
209,209,0,1,1,1,0a,2287,1676727
210,210,0,1,1,0,0a,2287,1676728
211,211,0,1,1,1,07,2287,1676730
212,212,0,1,1,0,05,2287,1676731
213,213,0,1,1,1,0a,2287,1676733
214,214,0,1,1,0,08,2287,1676734
215,215,0,1,1,1,05,2287,1676736
216,216,0,1,1,0,05,2287,1676737
217,217,0,1,1,1,08,2287,1676739
218,218,0,1,1,0,08,2287,1676740
219,219,0,1,1,1,06,2287,1676742
220,220,0,1,1,0,07,2287,1676743
221,221,0,1,1,1,03,2287,1676745
222,222,0,1,1,0,03,2287,1676746
223,223,0,1,1,1,06,2287,1676748
224,224,0,1,1,0,04,2287,1676749
225,225,0,1,1,1,08,2287,1676751
226,226,0,1,1,0,03,2287,1676752
227,227,0,1,1,1,06,2287,1676754
228,228,0,1,1,0,04,2287,1676755
229,229,0,1,1,1,03,2287,1676756
230,230,0,1,1,1,00,2287,1676758
231,231,0,1,1,0,0b,2287,1676759
232,232,0,1,1,1,0b,2287,1676761
233,233,0,1,1,0,03,2287,1676762
234,234,0,1,1,1,03,2287,1676764
235,235,0,1,1,0,0b,2287,1676765
236,236,0,1,1,1,0b,2287,1676767
237,237,0,1,1,0,01,2287,1676768
238,238,0,1,1,1,09,2287,1676770
239,239,0,1,1,0,09,2287,1676771
240,240,0,1,1,1,01,2287,1676773
241,241,0,1,1,0,01,2287,1676774
242,242,0,1,1,1,09,2287,1676776
243,243,0,1,1,0,0a,2287,1676777
244,244,0,1,1,1,03,2287,1676779
245,245,0,1,1,0,01,2287,1676780
246,246,0,1,1,1,0a,2287,1676782
247,247,0,1,1,0,08,2287,1676783
248,248,0,1,1,1,01,2287,1676785
249,249,0,1,1,0,01,2287,1676786
250,250,0,1,1,1,08,2287,1676788
251,251,0,1,1,0,08,2287,1676789
252,252,0,1,1,1,01,2287,1676791
253,253,0,1,1,0,02,2287,1676792
254,254,0,1,1,1,08,2287,1676794
255,255,0,1,1,0,08,2287,1676795
256,256,0,1,1,1,01,2287,1676797
257,257,0,1,1,0,02,2287,1676798
258,258,0,1,1,1,03,2287,1676800
259,259,0,1,1,0,03,2287,1676801
260,260,0,1,1,1,02,2287,1676803
261,261,0,1,1,0,02,2287,1676804
262,262,0,1,1,1,03,2287,1676806
263,263,0,1,1,0,03,2287,1676807
264,264,0,1,1,1,02,2287,1676808
265,265,0,1,1,1,02,2287,1676810
266,266,0,1,1,0,01,2287,1676811
267,267,0,1,1,1,02,2287,1676813
268,268,0,1,1,0,02,2287,1676814
269,269,0,1,1,1,01,2287,1676816
270,270,0,1,1,0,03,2287,1676817
271,271,0,1,1,1,02,2287,1676819
272,272,0,1,1,0,02,2287,1676820
273,273,0,1,1,1,01,2287,1676822
274,274,0,1,1,0,02,2287,1676823
275,275,0,1,1,1,02,2287,1676825
276,276,0,1,1,0,00,2287,1676826
277,277,0,1,1,1,01,2287,1676828
278,278,0,1,1,0,01,2287,1676829
279,279,0,1,1,1,00,2287,1676831
280,280,0,1,1,0,00,2287,1676832
281,281,0,1,1,1,02,2287,1676834
282,282,0,1,1,0,02,2287,1676835
283,283,0,1,1,1,00,2287,1676837
284,284,0,1,1,0,02,2287,1676838
285,285,0,1,1,1,02,2287,1676840
286,286,0,1,1,0,02,2287,1676841
287,287,0,1,1,1,00,2287,1676843
288,288,0,1,1,0,00,2287,1676844
289,289,0,1,1,1,02,2287,1676846
290,290,0,1,1,0,02,2287,1676847
291,291,0,1,1,1,00,2287,1676849
292,292,0,1,1,0,00,2287,1676850
293,293,0,1,1,1,00,2287,1676852
294,294,0,1,1,0,00,2287,1676853
295,295,0,1,1,1,00,2287,1676855
296,296,0,1,1,0,02,2287,1676856
297,297,0,1,1,1,00,2287,1676857
298,298,0,1,1,0,00,2287,1676859
299,299,0,1,1,0,00,2287,1676860
300,300,0,1,1,1,02,2287,1676862
301,301,0,1,1,0,00,2287,1676863
302,302,0,1,1,1,00,2287,1676865
303,303,0,1,1,0,00,2287,1676866
304,304,0,1,1,1,00,2287,1676868
305,305,0,1,1,0,00,2287,1676869
306,306,0,1,1,1,00,2287,1676871
307,307,0,1,1,0,00,2287,1676872
308,308,0,1,1,1,00,2287,1676874
309,309,0,1,1,0,00,2287,1676875
310,310,0,1,1,1,00,2287,1676877
311,311,0,1,1,0,00,2287,1676878
312,312,0,1,1,1,00,2287,1676880
313,313,0,1,1,0,00,2287,1676881
314,314,0,1,1,1,00,2287,1676883
315,315,0,1,1,0,00,2287,1676884
316,316,0,1,1,1,00,2287,1676886
317,317,0,1,1,0,00,2287,1676887
318,318,0,1,1,1,00,2287,1676889
319,319,0,1,1,0,00,2287,1676890
320,320,0,1,1,1,00,2287,1676892
321,321,0,1,1,0,00,2287,1676893
322,322,0,1,1,1,00,2287,1676895
323,323,0,1,1,0,00,2287,1676896
324,324,0,1,1,1,00,2287,1676898
325,325,0,1,1,0,00,2287,1676899
326,326,0,1,1,1,00,2287,1676901
327,327,0,1,1,0,00,2287,1676902
328,328,0,1,1,1,00,2287,1676904
329,329,0,1,1,0,00,2287,1676905
330,330,0,1,1,1,00,2287,1676907
331,331,0,1,1,0,00,2287,1676908
332,332,0,1,1,0,00,2287,1676909
333,333,0,1,1,1,00,2287,1676911
334,334,0,1,1,0,00,2287,1676912
335,335,0,1,1,1,00,2287,1676914
336,336,0,1,1,0,00,2287,1676915
337,337,0,1,1,1,00,2287,1676917
338,338,0,1,1,0,00,2287,1676918
339,339,0,1,1,1,00,2287,1676920
340,340,0,1,1,0,00,2287,1676921
341,341,0,1,1,1,00,2287,1676923
342,342,0,1,1,0,00,2287,1676924
343,343,0,1,1,1,00,2287,1676926
344,344,0,1,1,0,00,2287,1676927
345,345,0,1,1,1,00,2287,1676929
346,346,0,1,1,0,00,2287,1676930
347,347,0,1,1,1,00,2287,1676932
348,348,0,1,1,0,00,2287,1676933
349,349,0,1,1,1,00,2287,1676935
350,350,0,1,1,0,00,2287,1676936
351,351,0,1,1,1,00,2287,1676938
352,352,0,1,1,0,00,2287,1676939
353,353,0,1,1,1,00,2287,1676941
354,354,0,1,1,0,00,2287,1676942
355,355,0,1,1,1,00,2287,1676944
356,356,0,1,1,0,00,2287,1676945
357,357,0,1,1,1,00,2287,1676947
358,358,0,1,1,0,00,2287,1676948
359,359,0,1,1,1,00,2287,1676950
360,360,0,1,1,0,00,2287,1676951
361,361,0,1,1,1,00,2287,1676953
362,362,0,1,1,0,00,2287,1676954
363,363,0,1,1,1,00,2287,1676956
364,364,0,1,1,0,00,2287,1676957
365,365,0,1,1,1,00,2287,1676958
366,366,0,1,1,1,00,2287,1676960
367,367,0,1,1,0,00,2287,1676961
368,368,0,1,1,1,00,2287,1676963
369,369,0,1,1,0,00,2287,1676964
370,370,0,1,1,1,00,2287,1676966
371,371,0,1,1,0,00,2287,1676967
372,372,0,1,1,1,00,2287,1676969
