Sample in Buffer,Sample in Window,TRIGGER,design_1_i/CIS_test_0_o_vsync,design_1_i/CIS_test_0_o_hsync,design_1_i/cis_pclk_1,design_1_i/cis_d_1[7:0],design_1_i/CIS_test_0_o_hsync_cnt[31:0],design_1_i/CIS_test_0_o_pclk_cnt[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
0,0,0,1,1,0,02,6,9774
1,1,0,1,1,1,02,6,9775
2,2,0,1,1,1,02,6,9776
3,3,0,1,1,1,02,6,9777
4,4,0,1,1,1,02,6,9778
5,5,0,1,1,1,02,6,9779
6,6,0,1,1,1,02,6,9780
7,7,0,1,1,1,02,6,9781
8,8,0,1,1,1,02,6,9782
9,9,0,1,1,1,02,6,9783
10,10,0,1,1,1,02,6,9784
11,11,0,1,1,1,02,6,9785
12,12,0,1,1,1,02,6,9786
13,13,0,1,1,1,02,6,9787
14,14,0,1,1,1,02,6,9788
15,15,0,1,1,1,02,6,9789
16,16,0,1,1,1,02,6,9790
17,17,0,1,1,1,02,6,9791
18,18,0,1,1,1,02,6,9792
19,19,0,1,1,1,02,6,9793
20,20,0,1,1,1,02,6,9794
21,21,0,1,1,1,02,6,9795
22,22,0,1,1,1,02,6,9796
23,23,0,1,1,1,02,6,9797
24,24,0,1,1,1,02,6,9798
25,25,0,1,1,1,02,6,9799
26,26,0,1,1,1,02,6,9800
27,27,0,1,1,1,02,6,9801
28,28,0,1,1,1,02,6,9802
29,29,0,1,1,1,02,6,9803
30,30,0,1,1,1,02,6,9804
31,31,0,1,1,1,02,6,9805
32,32,0,1,1,1,02,6,9806
33,33,0,1,1,1,02,6,9807
34,34,0,1,1,1,02,6,9808
35,35,0,1,1,1,02,6,9809
36,36,0,1,1,1,02,6,9810
37,37,0,1,1,1,02,6,9811
38,38,0,1,1,1,02,6,9812
39,39,0,1,1,1,02,6,9813
40,40,0,1,1,1,02,6,9814
41,41,0,1,1,1,02,6,9815
42,42,0,1,1,1,02,6,9816
43,43,0,1,1,1,02,6,9817
44,44,0,1,1,1,02,6,9818
