a,b
1540.00000,0.30738
1540.00500,0.31330
1540.01000,0.31922
1540.01500,0.32679
1540.02000,0.33205
1540.02500,0.33435
1540.03000,0.32942
1540.03500,0.32120
1540.04000,0.31429
1540.04500,0.31429
1540.05000,0.31857
1540.05500,0.32350
1540.06000,0.32679
1540.06500,0.33106
1540.07000,0.33073
1540.07500,0.32218
1540.08000,0.31100
1540.08500,0.30081
1540.09000,0.29818
1540.09500,0.29850
1540.10000,0.30311
1540.10500,0.30804
1540.11000,0.31626
1540.11500,0.32876
1540.12000,0.33600
1540.12500,0.33337
1540.13000,0.32514
1540.13500,0.31495
1540.14000,0.30936
1540.14500,0.30410
1540.15000,0.30541
1540.15500,0.31429
1540.16000,0.32449
1540.16500,0.33106
1540.17000,0.32975
1540.17500,0.32021
1540.18000,0.31067
1540.18500,0.30245
1540.19000,0.29620
1540.19500,0.29226
1540.20000,0.29357
1540.20500,0.30048
1540.21000,0.30442
1540.21500,0.30114
1540.22000,0.29127
1540.22500,0.27778
1540.23000,0.26463
1540.23500,0.25246
1540.24000,0.23832
1540.24500,0.22385
1540.25000,0.20280
1540.25500,0.16531
1540.26000,0.12387
1540.26500,0.09427
1540.27000,0.08078
1540.27500,0.07750
1540.28000,0.08309
1540.28500,0.09460
1540.29000,0.12913
1540.29500,0.18701
1540.30000,0.22352
1540.30500,0.24227
1540.31000,0.25476
1540.31500,0.26233
1540.32000,0.27154
1540.32500,0.28469
1540.33000,0.30048
1540.33500,0.31495
1540.34000,0.32054
1540.34500,0.31659
1540.35000,0.31034
1540.35500,0.30837
1540.36000,0.30738
1540.36500,0.30969
1540.37000,0.31692
1540.37500,0.32745
1540.38000,0.33633
1540.38500,0.33764
1540.39000,0.33172
1540.39500,0.32120
1540.40000,0.31298
1540.40500,0.30706
1540.41000,0.30607
1540.41500,0.31002
1540.42000,0.32087
1540.42500,0.33238
1540.43000,0.34126
1540.43500,0.34225
1540.44000,0.33797
1540.44500,0.33205
1540.45000,0.32514
1540.45500,0.32120
1540.46000,0.31857
1540.46500,0.32218
1540.47000,0.33139
1540.47500,0.34060
1540.48000,0.34521
1540.48500,0.34389
1540.49000,0.33863
1540.49500,0.32876
1540.50000,0.32054
1540.50500,0.31528
1540.51000,0.31495
1540.51500,0.32284
1540.52000,0.33304
1540.52500,0.33731
1540.53000,0.33764
1540.53500,0.33238
1540.54000,0.32481
1540.54500,0.31429
1540.55000,0.30179
1540.55500,0.29719
1540.56000,0.29850
1540.56500,0.30212
1540.57000,0.30377
1540.57500,0.29982
1540.58000,0.29028
1540.58500,0.27482
1540.59000,0.24851
1540.59500,0.21694
1540.60000,0.17846
1540.60500,0.12979
1540.61000,0.09394
1540.61500,0.06993
1540.62000,0.06237
1540.62500,0.06927
1540.63000,0.09986
1540.63500,0.14689
1540.64000,0.19820
1540.64500,0.24194
1540.65000,0.27384
1540.65500,0.29061
1540.66000,0.29850
1540.66500,0.29982
1540.67000,0.29949
1540.67500,0.30146
1540.68000,0.31330
1540.68500,0.33369
1540.69000,0.34817
1540.69500,0.35014
1540.70000,0.34389
1540.70500,0.33633
1540.71000,0.32975
1540.71500,0.32449
1540.72000,0.32416
1540.72500,0.33106
1540.73000,0.34225
1540.73500,0.35014
1540.74000,0.35244
1540.74500,0.35080
1540.75000,0.34652
1540.75500,0.34126
1540.76000,0.33337
1540.76500,0.32843
1540.77000,0.33073
1540.77500,0.33863
1540.78000,0.34619
1540.78500,0.35178
1540.79000,0.35540
1540.79500,0.35540
1540.80000,0.35080
1540.80500,0.34192
1540.81000,0.33369
1540.81500,0.32843
1540.82000,0.33008
1540.82500,0.33534
1540.83000,0.34422
1540.83500,0.35277
1540.84000,0.35737
1540.84500,0.35573
1540.85000,0.34586
1540.85500,0.33041
1540.86000,0.32120
1540.86500,0.31890
1540.87000,0.32054
1540.87500,0.32481
1540.88000,0.32843
1540.88500,0.33402
1540.89000,0.33501
1540.89500,0.32580
1540.90000,0.31133
1540.90500,0.29719
1540.91000,0.28798
1540.91500,0.28173
1540.92000,0.27450
1540.92500,0.26068
1540.93000,0.25049
1540.93500,0.24753
1540.94000,0.21727
1540.94500,0.17452
1540.95000,0.13110
1540.95500,0.09558
1540.96000,0.07158
1540.96500,0.06401
1540.97000,0.07355
1540.97500,0.10545
1540.98000,0.15248
1540.98500,0.18800
1540.99000,0.21299
1540.99500,0.23569
1541.00000,0.25575
1541.00500,0.27351
1541.01000,0.28831
1541.01500,0.29686
1541.02000,0.29818
1541.02500,0.29357
1541.03000,0.29160
1541.03500,0.29489
1541.04000,0.30475
1541.04500,0.31199
1541.05000,0.31857
1541.05500,0.32251
1541.06000,0.32383
1541.06500,0.31988
1541.07000,0.31199
1541.07500,0.30673
1541.08000,0.30936
1541.08500,0.31363
1541.09000,0.31791
1541.09500,0.32481
1541.10000,0.33271
1541.10500,0.33633
1541.11000,0.33304
1541.11500,0.32481
1541.12000,0.31659
1541.12500,0.31396
1541.13000,0.31429
1541.13500,0.31692
1541.14000,0.32054
1541.14500,0.32679
1541.15000,0.32975
1541.15500,0.32679
1541.16000,0.31692
1541.16500,0.30541
1541.17000,0.29850
1541.17500,0.29324
1541.18000,0.29357
1541.18500,0.29785
1541.19000,0.30804
1541.19500,0.32021
1541.20000,0.32942
1541.20500,0.32679
1541.21000,0.31824
1541.21500,0.30771
1541.22000,0.30015
1541.22500,0.29423
1541.23000,0.29226
1541.23500,0.29456
1541.24000,0.29785
1541.24500,0.29949
1541.25000,0.29653
1541.25500,0.28666
1541.26000,0.27482
1541.26500,0.25970
1541.27000,0.24621
1541.27500,0.23207
1541.28000,0.21661
1541.28500,0.19425
1541.29000,0.15807
1541.29500,0.11893
1541.30000,0.09164
1541.30500,0.07454
1541.31000,0.07092
1541.31500,0.08276
1541.32000,0.11433
1541.32500,0.16136
1541.33000,0.20148
1541.33500,0.22615
1541.34000,0.23700
1541.34500,0.24292
1541.35000,0.25016
1541.35500,0.25838
1541.36000,0.27318
1541.36500,0.28962
1541.37000,0.30508
1541.37500,0.31133
1541.38000,0.30903
1541.38500,0.30508
1541.39000,0.30278
1541.39500,0.30212
1541.40000,0.30640
1541.40500,0.31462
1541.41000,0.32580
1541.41500,0.33304
1541.42000,0.33205
1541.42500,0.32547
1541.43000,0.31561
1541.43500,0.30969
1541.44000,0.30541
1541.44500,0.30508
1541.45000,0.31199
1541.45500,0.32481
1541.46000,0.33764
1541.46500,0.34257
1541.47000,0.34060
1541.47500,0.33468
1541.48000,0.32646
1541.48500,0.32021
1541.49000,0.31561
1541.49500,0.31429
1541.50000,0.32087
1541.50500,0.32909
1541.51000,0.33633
1541.51500,0.34060
1541.52000,0.33994
1541.52500,0.33600
1541.53000,0.32745
1541.53500,0.31659
1541.54000,0.31133
1541.54500,0.31561
1541.55000,0.32120
1541.55500,0.32547
1541.56000,0.32153
1541.56500,0.31725
1541.57000,0.31298
1541.57500,0.30837
1541.58000,0.29850
1541.58500,0.29127
1541.59000,0.28897
1541.59500,0.28962
1541.60000,0.29061
1541.60500,0.29127
1541.61000,0.28601
1541.61500,0.27680
1541.62000,0.25772
1541.62500,0.23240
1541.63000,0.20280
1541.63500,0.16991
1541.64000,0.13571
1541.64500,0.10282
1541.65000,0.08111
1541.65500,0.07223
1541.66000,0.07815
1541.66500,0.10117
1541.67000,0.13308
1541.67500,0.16761
1541.68000,0.19951
1541.68500,0.22615
1541.69000,0.24654
1541.69500,0.26003
1541.70000,0.26890
1541.70500,0.27318
1541.71000,0.27713
1541.71500,0.28272
1541.72000,0.29587
1541.72500,0.30508
1541.73000,0.31100
1541.73500,0.31166
1541.74000,0.31034
1541.74500,0.30607
1541.75000,0.29719
1541.75500,0.29324
1541.76000,0.29456
1541.76500,0.30146
1541.77000,0.30870
1541.77500,0.31429
1541.78000,0.31692
1541.78500,0.31791
1541.79000,0.31363
1541.79500,0.30410
1541.80000,0.29357
1541.80500,0.28930
1541.81000,0.29226
1541.81500,0.29587
1541.82000,0.30311
1541.82500,0.30837
1541.83000,0.31396
1541.83500,0.31495
1541.84000,0.31067
1541.84500,0.30081
1541.85000,0.29357
1541.85500,0.28962
1541.86000,0.29127
1541.86500,0.29653
1541.87000,0.30344
1541.87500,0.31067
1541.88000,0.31561
1541.88500,0.31199
1541.89000,0.30179
1541.89500,0.29160
1541.90000,0.28469
1541.90500,0.28272
1541.91000,0.28272
1541.91500,0.28666
1541.92000,0.29193
1541.92500,0.29916
1541.93000,0.30212
1541.93500,0.29357
1541.94000,0.28272
1541.94500,0.27252
1541.95000,0.26299
1541.95500,0.25904
1541.96000,0.25509
1541.96500,0.25016
1541.97000,0.23536
1541.97500,0.20675
1541.98000,0.16761
1541.98500,0.12781
1541.99000,0.09558
1541.99500,0.07454
1542.00000,0.06664
1542.00500,0.07092
1542.01000,0.09690
1542.01500,0.13900
1542.02000,0.17517
1542.02500,0.19852
1542.03000,0.21530
1542.03500,0.22845
1542.04000,0.24194
1542.04500,0.25345
1542.05000,0.26430
1542.05500,0.27219
1542.06000,0.27219
1542.06500,0.26562
1542.07000,0.26233
1542.07500,0.26562
1542.08000,0.27186
1542.08500,0.27910
1542.09000,0.28699
1542.09500,0.29423
1542.10000,0.30015
1542.10500,0.30114
1542.11000,0.29423
1542.11500,0.28568
1542.12000,0.28009
1542.12500,0.27581
1542.13000,0.27614
1542.13500,0.28009
1542.14000,0.29028
1542.14500,0.30278
1542.15000,0.30969
1542.15500,0.30837
1542.16000,0.30245
1542.16500,0.29752
1542.17000,0.29522
1542.17500,0.29324
1542.18000,0.29390
1542.18500,0.29850
1542.19000,0.30475
1542.19500,0.30738
1542.20000,0.30706
1542.20500,0.30245
1542.21000,0.29522
1542.21500,0.28765
1542.22000,0.28042
1542.22500,0.27811
1542.23000,0.27976
1542.23500,0.28535
1542.24000,0.29456
1542.24500,0.29785
1542.25000,0.29818
1542.25500,0.29423
1542.26000,0.28765
1542.26500,0.28272
1542.27000,0.27515
1542.27500,0.27219
1542.28000,0.27351
1542.28500,0.27811
1542.29000,0.28009
1542.29500,0.27877
1542.30000,0.27121
1542.30500,0.26035
1542.31000,0.24621
1542.31500,0.22977
1542.32000,0.21365
1542.32500,0.19425
1542.33000,0.16531
1542.33500,0.13373
1542.34000,0.10578
1542.34500,0.08868
1542.35000,0.08111
1542.35500,0.09197
1542.36000,0.11992
1542.36500,0.15215
1542.37000,0.18307
1542.37500,0.20313
1542.38000,0.21530
1542.38500,0.21990
1542.39000,0.22319
1542.39500,0.22944
1542.40000,0.23963
1542.40500,0.25772
1542.41000,0.27285
1542.41500,0.27778
1542.42000,0.27417
1542.42500,0.26858
1542.43000,0.26496
1542.43500,0.26134
1542.44000,0.26134
1542.44500,0.26627
1542.45000,0.27647
1542.45500,0.28765
1542.46000,0.29291
1542.46500,0.29423
1542.47000,0.29127
1542.47500,0.28732
1542.48000,0.28239
1542.48500,0.27515
1542.49000,0.27384
1542.49500,0.27811
1542.50000,0.28535
1542.50500,0.29489
1542.51000,0.29982
1542.51500,0.30015
1542.52000,0.29850
1542.52500,0.29324
1542.53000,0.28535
1542.53500,0.27614
1542.54000,0.27384
1542.54500,0.27548
1542.55000,0.27877
1542.55500,0.28699
1542.56000,0.29390
1542.56500,0.29949
1542.57000,0.30212
1542.57500,0.29850
1542.58000,0.28995
1542.58500,0.28338
1542.59000,0.28239
1542.59500,0.28436
1542.60000,0.28995
1542.60500,0.29390
1542.61000,0.29982
1542.61500,0.30179
1542.62000,0.29653
1542.62500,0.28403
1542.63000,0.27088
1542.63500,0.26463
1542.64000,0.26200
1542.64500,0.26101
1542.65000,0.26200
1542.65500,0.26003
1542.66000,0.24884
1542.66500,0.22779
1542.67000,0.19918
1542.67500,0.17221
1542.68000,0.15084
1542.68500,0.13077
1542.69000,0.11301
1542.69500,0.09624
1542.70000,0.09164
1542.70500,0.10907
1542.71000,0.13669
1542.71500,0.16366
1542.72000,0.18734
1542.72500,0.21168
1542.73000,0.23240
1542.73500,0.24720
1542.74000,0.25739
1542.74500,0.25838
1542.75000,0.25641
1542.75500,0.26003
1542.76000,0.26759
1542.76500,0.27680
1542.77000,0.28305
1542.77500,0.28962
1542.78000,0.29489
1542.78500,0.29489
1542.79000,0.28765
1542.79500,0.27844
1542.80000,0.27351
1542.80500,0.27219
1542.81000,0.27713
1542.81500,0.28502
1542.82000,0.29324
1542.82500,0.30114
1542.83000,0.30410
1542.83500,0.29653
1542.84000,0.28634
1542.84500,0.27943
1542.85000,0.27614
1542.85500,0.27811
1542.86000,0.28239
1542.86500,0.28699
1542.87000,0.29686
1542.87500,0.30541
1542.88000,0.30706
1542.88500,0.30278
1542.89000,0.29423
1542.89500,0.28601
1542.90000,0.28305
1542.90500,0.28140
1542.91000,0.28074
1542.91500,0.28436
1542.92000,0.29127
1542.92500,0.29785
1542.93000,0.30344
1542.93500,0.29883
1542.94000,0.28962
1542.94500,0.28239
1542.95000,0.27417
1542.95500,0.26858
1542.96000,0.26594
1542.96500,0.26430
1542.97000,0.26890
1542.97500,0.27318
1542.98000,0.27219
1542.98500,0.26890
1542.99000,0.26101
1542.99500,0.25016
1543.00000,0.23996
1543.00500,0.22714
1543.01000,0.21661
1543.01500,0.20609
1543.02000,0.18997
1543.02500,0.16662
1543.03000,0.13933
1543.03500,0.11466
1543.04000,0.09394
1543.04500,0.08210
1543.05000,0.08572
1543.05500,0.11565
1543.06000,0.16662
1543.06500,0.21267
