표 1
a,b,,,, - Count 1, - Count 1, - Count 2,,
0.00000002,0.986998715826882,,,,0,3903,2857,0.154733727810651,0.986998715826882
0.00000004,1.00582985384558,,,,1,3918,2833,0.160716930825063,1.00582985384558
0.00000006,0.970180987474048,,,,2,3770,2790,0.149390243902439,0.970180987474048
0.00000008,0.917640347265707,,,,3,3854,2951,0.13269654665687,0.917640347265707
0.0000001,0.981603546313879,,,,4,3809,2798,0.153019524746481,0.981603546313879
0.00000012,1,,,,5,3899,2830,0.158864615841878,1
0.00000014,0.872623047759558,,,,6,3703,2919,0.118393234672304,0.872623047759558
0.00000016,1.0061227923655,,,,7,3898,2818,0.160810005955926,1.0061227923655
0.00000018,1.00919279209853,,,,8,3709,2676,0.161785434612373,1.00919279209853
0.0000002,0.931198012701132,,,,9,3913,2970,0.137004213279093,0.931198012701132
0.00000022,0.902503567586351,,,,10,3638,2813,0.127887149279182,0.902503567586351
0.00000024,0.974586020318467,,,,11,3606,2661,0.150789851603638,0.974586020318467
0.00000026,1.01273808371773,,,,12,3794,2731,0.162911877394636,1.01273808371773
0.00000028,0.760667317388638,,,,13,3615,3062,0.0828216264789576,0.760667317388638
0.0000003,0.842641279632172,,,,14,3514,2824,0.108867150520669,0.842641279632172
0.00000032,0.886890874449701,,,,15,3791,2961,0.12292654028436,0.886890874449701
0.00000034,0.620936926850468,,,,16,3297,3053,0.0384251968503937,0.620936926850468
0.00000036,0.816722002450431,,,,17,3571,2918,0.100631838495916,0.816722002450431
0.00000038,0.782149660688384,,,,18,3768,3148,0.0896471949103528,0.782149660688384
0.0000004,0.700176781897911,,,,19,3378,2974,0.0636020151133501,0.700176781897911
0.00000042,0.69032193338804,,,,20,3446,3053,0.0604708416679489,0.69032193338804
0.00000044,0.773893106815834,,,,21,3510,2948,0.0870238463920718,0.773893106815834
0.00000046,0.740487615875144,,,,22,3550,3046,0.0764099454214676,0.740487615875144
0.00000048,0.723290584784973,,,,23,3487,3025,0.0709459459459459,0.723290584784973
0.0000005,0.82657845873777,,,,24,3622,2941,0.103763522779217,0.82657845873777
0.00000052,0.852649089779215,,,,25,3697,2952,0.112046924349526,0.852649089779215
0.00000054,0.857437807426263,,,,26,3726,2966,0.113568439928273,0.857437807426263
0.00000056,0.910244975315921,,,,27,3911,3009,0.130346820809249,0.910244975315921
0.00000058,0.912139799863236,,,,28,3826,2940,0.130948861956843,0.912139799863236
0.0000006,0.918078689806347,,,,29,3795,2905,0.132835820895522,0.918078689806347
0.00000062,0.821714891884434,,,,30,3677,2995,0.102218225419664,0.821714891884434
0.00000064,0.86367472889379,,,,31,3630,2878,0.115550092194222,0.86367472889379
0.00000066,0.975679952985364,,,,32,3694,2724,0.151137425989405,0.975679952985364
0.00000068,1.01482689840359,,,,33,3827,2751,0.163575554879903,1.01482689840359
0.0000007,0.95001968827933,,,,34,3849,2886,0.142984409799555,0.95001968827933
0.00000072,0.934974437501338,,,,35,3809,2884,0.138204093829374,0.934974437501338
0.00000074,0.979764379272335,,,,36,3644,2680,0.152435167615433,0.979764379272335
0.00000076,0.902082311683283,,,,37,3840,2970,0.127753303964758,0.902082311683283
0.00000078,0.885416856004807,,,,38,3726,2913,0.122458201536376,0.885416856004807
0.0000008,0.928911125997055,,,,39,3602,2738,0.136277602523659,0.928911125997055
0.00000082,0.906295736260995,,,,40,3656,2820,0.129092032118592,0.906295736260995
0.00000084,0.982134729192123,,,,41,3843,2822,0.153188297074269,0.982134729192123
0.00000086,1.03117924497046,,,,42,3795,2699,0.168771173390822,1.03117924497046
0.00000088,0.898971284965726,,,,43,3711,2876,0.126764839836041,0.898971284965726
0.0000009,0.93973287076298,,,,44,3732,2817,0.139715987173614,0.93973287076298
0.00000092,0.905681535220843,,,,45,3766,2906,0.128896882494005,0.905681535220843
0.00000094,0.905677538780288,,,,46,3731,2879,0.128895612708018,0.905677538780288
0.00000096,0.895433013074706,,,,47,3624,2815,0.125640627426619,0.895433013074706
0.00000098,0.780153404512823,,,,48,3707,3101,0.0890129259694477,0.780153404512823
0.000001,0.684960380653227,,,,49,3324,2955,0.0587673196368849,0.684960380653227
0.00000102,0.925211632490798,,,,50,3722,2836,0.135102165294297,0.925211632490798
0.00000104,0.963760326730631,,,,51,3648,2711,0.147350212297531,0.963760326730631
0.00000106,0.997250899933301,,,,52,3793,2758,0.157991146389864,0.997250899933301
0.00000108,0.970115374517653,,,,53,3782,2799,0.149369396748215,0.970115374517653
0.0000011,0.941054962677309,,,,54,3771,2844,0.140136054421769,0.941054962677309
0.00000112,0.890037705096788,,,,55,3664,2856,0.123926380368098,0.890037705096788
0.00000114,0.937333316486165,,,,56,3668,2773,0.138953578636858,0.937333316486165
0.00000116,0.875185236943578,,,,57,3671,2889,0.119207317073171,0.875185236943578
0.00000118,0.974726851779563,,,,58,3792,2798,0.150834597875569,0.974726851779563
0.0000012,0.933751835262251,,,,59,3740,2834,0.137815637359294,0.933751835262251
0.00000122,0.976095132141792,,,,60,3832,2825,0.151269340543788,0.976095132141792
0.00000124,0.909986643612407,,,,61,3757,2891,0.130264741275572,0.909986643612407
0.00000126,0.909581188276097,,,,62,3617,2784,0.130135916263084,0.909581188276097
0.00000128,0.896106355678216,,,,63,3623,2813,0.125854568054692,0.896106355678216
0.0000013,0.836218073151579,,,,64,3559,2872,0.106826310060644,0.836218073151579
0.00000132,0.672450287702784,,,,65,3571,3200,0.0547924974154482,0.672450287702784
0.00000134,0.56866910451569,,,,66,3372,3228,0.0218181818181818,0.56866910451569
0.00000136,0.479074842232299,,,,67,3287,3331,-0.00664853430039287,0.479074842232299
0.00000138,0.539852126076989,,,,68,3239,3158,0.012662185399406,0.539852126076989
0.0000014,0.564333878392215,,,,69,3195,3067,0.0204407537527946,0.564333878392215
0.00000142,0.678026241827062,,,,70,3521,3144,0.0565641410352588,0.678026241827062
